model,displ,fuel,cert_region,veh_class,air_pollution_score,smartway
SUBARU Tribeca,3.6,Gasoline,CA,SUV,6,no
SUZUKI Grand Vitara,2.7,Gasoline,CA,SUV,6,no
SUZUKI SX4,2.0,Gasoline,CA,small car,6,yes
SUZUKI SX4,2.0,Gasoline,CA,station wagon,6,yes
TOYOTA 4Runner,4.7,Gasoline,CA,SUV,7,no
TOYOTA 4Runner,4.0,Gasoline,CA,SUV,6,no
TOYOTA Avalon,3.5,Gasoline,CA,large car,7,yes
TOYOTA Camry,2.4,Gasoline,CA,midsize car,9.5,yes
TOYOTA Camry,2.4,Gasoline,CA,midsize car,7,yes
TOYOTA Camry,3.5,Gasoline,CA,midsize car,7,yes
TOYOTA Camry Hybrid,2.4,Gasoline,CA,midsize car,9.5,yes
TOYOTA Corolla,1.8,Gasoline,CA,small car,7,yes
TOYOTA FJ Cruiser,4.0,Gasoline,CA,SUV,6,no
TOYOTA Highlander,3.5,Gasoline,CA,SUV,7,yes
TOYOTA Highlander,3.5,Gasoline,CA,SUV,7,no
TOYOTA Highlander Hybrid,3.3,Gasoline,CA,SUV,9,yes
TOYOTA Land Cruiser,5.7,Gasoline,CA,SUV,7,no
TOYOTA Matrix,1.8,Gasoline,CA,station wagon,7,yes
TOYOTA Prius,1.5,Gasoline,CA,midsize car,9.5,yes
TOYOTA RAV4,2.4,Gasoline,CA,SUV,7,yes
TOYOTA RAV4,3.5,Gasoline,CA,SUV,7,yes
TOYOTA Scion TC,2.4,Gasoline,CA,small car,7,yes
TOYOTA Scion XB,2.4,Gasoline,CA,station wagon,7,yes
TOYOTA Scion XD,1.8,Gasoline,CA,small car,6,yes
TOYOTA Sequoia,4.7,Gasoline,CA,SUV,7,no
TOYOTA Sequoia,5.7,Gasoline,CA,SUV,7,no
TOYOTA Sienna,3.5,Gasoline,CA,minivan,7,no
TOYOTA Solara,2.4,Gasoline,CA,small car,7,yes
TOYOTA Solara,3.3,Gasoline,CA,small car,7,yes
TOYOTA Solara Convertible,3.3,Gasoline,CA,small car,7,yes
TOYOTA Tacoma,2.7,Gasoline,CA,pickup,6,no
TOYOTA Tacoma,4.0,Gasoline,CA,pickup,6,no
TOYOTA Tundra,4.7,Gasoline,CA,pickup,7,no
TOYOTA Tundra,5.7,Gasoline,CA,pickup,7,no
TOYOTA Tundra,4.0,Gasoline,CA,pickup,6,no
TOYOTA Yaris,1.5,Gasoline,CA,small car,7,yes
VOLKSWAGEN Eos,2.0,Gasoline,CA,small car,7,yes
VOLKSWAGEN Eos,3.2,Gasoline,CA,small car,6,no
VOLKSWAGEN GTI,2.0,Gasoline,CA,small car,7,yes
VOLKSWAGEN Jetta,2.5,Gasoline,CA,small car,9.5,yes
VOLKSWAGEN Jetta,2.0,Gasoline,CA,small car,7,yes
VOLKSWAGEN Jetta,2.5,Gasoline,CA,small car,7,yes
VOLKSWAGEN Jetta Wagon,2.5,Gasoline,CA,station wagon,9.5,yes
VOLKSWAGEN Jetta Wagon,2.5,Gasoline,CA,station wagon,7,yes
VOLKSWAGEN New Beetle,2.5,Gasoline,CA,small car,9.5,yes
VOLKSWAGEN New Beetle,2.5,Gasoline,CA,small car,7,yes
VOLKSWAGEN New Beetle Convertible,2.5,Gasoline,CA,small car,9.5,yes
VOLKSWAGEN New Beetle Convertible,2.5,Gasoline,CA,small car,7,yes
VOLKSWAGEN Passat,2.0,Gasoline,CA,midsize car,7,yes
VOLKSWAGEN Passat,3.6,Gasoline,CA,midsize car,6,no
VOLKSWAGEN Passat Wagon,2.0,Gasoline,CA,station wagon,7,yes
VOLKSWAGEN Passat Wagon,3.6,Gasoline,CA,station wagon,6,no
VOLKSWAGEN R32,3.2,Gasoline,CA,small car,6,no
VOLKSWAGEN Rabbit,2.5,Gasoline,CA,small car,9.5,yes
VOLKSWAGEN Rabbit,2.5,Gasoline,CA,small car,7,yes
VOLKSWAGEN Touareg,3.6,Gasoline,CA,SUV,6,no
VOLKSWAGEN Touareg,4.2,Gasoline,CA,SUV,6,no
VOLVO C30,2.4,Gasoline,CA,small car,7,yes
VOLVO C30,2.5,Gasoline,CA,small car,7,yes
VOLVO C70 Convertible,2.5,Gasoline,CA,small car,7,yes
VOLVO S40,2.4,Gasoline,CA,small car,9.5,yes
VOLVO S40,2.4,Gasoline,CA,small car,7,yes
VOLVO S40,2.5,Gasoline,CA,small car,7,yes
VOLVO S60,2.5,Gasoline,CA,small car,7,yes
VOLVO S60,2.4,Gasoline,CA,small car,6,no
VOLVO S80,3.0,Gasoline,CA,midsize car,7,no
VOLVO S80,3.2,Gasoline,CA,midsize car,7,no
VOLVO S80,4.4,Gasoline,CA,midsize car,7,no
VOLVO V50,2.4,Gasoline,CA,station wagon,9.5,yes
VOLVO V50,2.4,Gasoline,CA,station wagon,7,yes
VOLVO V50,2.5,Gasoline,CA,station wagon,7,yes
VOLVO V70,3.2,Gasoline,CA,station wagon,7,no
VOLVO XC 70,3.2,Gasoline,CA,SUV,7,no
VOLVO XC 90,3.2,Gasoline,CA,SUV,7,no
VOLVO XC 90,4.4,Gasoline,CA,SUV,7,no
